team,signal_date,season,z_oos,z_bucket,regime,rolling_spread,mu,sigma_eq,match_date,home_team,away_team,venue,home_goals,away_goals,result,days_gap,home_odds,draw_odds,away_odds,ah_line,ah_home_odds,ah_away_odds,over_odds,under_odds,margin_1x2,margin_ah,odds_1x2,won_1x2,odds_ou,won_ou,odds_ah,pnl_mult_ah,gross_pnl_1x2,gross_pnl_ou,gross_pnl_ah
Arsenal,2017-09-25 20:00:00,2017,1.732005016722408,Strong Long,Normal,0.6387912,-0.1898,0.4784,2017-10-01,Arsenal,Brighton,home,2,0,H,5,1.2,6.5,13.0,-1.75,1.94,1.93,1.55,2.43,0.0641,0.0336,1.2,True,1.55,False,1.94,1.0,0.19999999999999996,-1.0,0.94
Arsenal,2017-12-02 17:30:00,2017,1.6735647993311036,Strong Long,Normal,0.6108334,-0.1898,0.4784,2017-12-10,Southampton,Arsenal,away,1,1,D,7,4.0,3.75,1.95,0.25,2.19,1.71,1.8,2.02,0.0295,0.0414,1.95,False,1.8,False,1.71,-1.0,-1.0,-1.0,-1.0
Arsenal,2017-12-10 12:00:00,2017,1.785581939799331,Strong Long,Normal,0.6644224,-0.1898,0.4784,2017-12-13,West Ham,Arsenal,away,0,0,D,2,5.25,4.2,1.66,0.75,2.07,1.79,1.66,2.21,0.031,0.0418,1.66,False,1.66,False,1.79,-1.0,-1.0,-1.0,-1.0
Arsenal,2017-12-13 20:00:00,2017,2.1114180602006685,Strong Long,Normal,0.8203023999999999,-0.1898,0.4784,2017-12-16,Arsenal,Newcastle United,home,1,0,H,2,1.25,6.5,14.0,-1.75,1.9,1.96,1.46,2.71,0.0253,0.0365,1.25,True,1.46,False,1.9,-1.0,0.25,-1.0,-1.0
Arsenal,2017-12-16 15:00:00,2017,2.225498327759197,Strong Long,Normal,0.8748783999999998,-0.1898,0.4784,2017-12-22,Arsenal,Liverpool,home,3,3,D,5,2.54,3.6,2.79,-0.25,2.13,1.76,1.5,2.57,0.0299,0.0377,2.54,False,1.5,True,2.13,-1.0,-1.0,0.5,-1.0
Arsenal,2017-12-22 19:45:00,2017,1.6620158862876253,Strong Long,Normal,0.6053084,-0.1898,0.4784,2017-12-28,Crystal Palace,Arsenal,away,2,3,A,5,4.5,4.0,1.8,0.75,1.88,1.99,1.62,2.29,0.0278,0.0344,1.8,True,1.62,True,1.99,1.0,0.8,0.6200000000000001,0.99
Arsenal,2018-05-06 16:30:00,2017,-1.8386534280936453,Strong Short,Break,-1.0694118,-0.1898,0.4784,2018-05-09,Leicester,Arsenal,away,3,1,H,2,3.75,3.79,2.0,0.25,2.17,1.72,1.54,2.45,0.0305,0.0422,3.75,True,2.45,False,2.17,1.0,2.75,-1.0,1.17
Arsenal,2018-09-23 15:00:00,2018,-1.588209907640638,Strong Short,Break,-0.9023232,-0.1457,0.4764,2018-09-29,Arsenal,Watford,home,2,0,H,5,1.44,5.1,7.0,-1.0,1.75,2.13,1.44,2.73,0.0334,0.0409,7.0,False,2.73,True,2.13,-1.0,-1.0,1.73,-1.0
Arsenal,2018-09-29 14:00:00,2018,-1.9607413937867344,Strong Short,Break,-1.0797972000000002,-0.1457,0.4764,2018-10-07,Fulham,Arsenal,away,1,5,A,7,5.25,4.33,1.66,1.0,1.8,2.07,1.42,2.8,0.0238,0.0386,5.25,False,2.8,False,1.8,-1.0,-1.0,-1.0,-1.0
Arsenal,2018-10-07 11:00:00,2018,-3.072471032745592,Strong Short,Break,-1.6094252,-0.1457,0.4764,2018-10-22,Arsenal,Leicester,home,3,1,H,14,1.53,4.5,6.5,-1.0,1.85,2.01,1.47,2.62,0.0297,0.0381,6.5,False,2.62,False,2.01,-1.0,-1.0,-1.0,-1.0
Arsenal,2018-10-22 19:00:00,2018,-2.4400948782535687,Strong Short,Break,-1.3081612,-0.1457,0.4764,2018-10-28,Crystal Palace,Arsenal,away,2,2,D,5,4.75,4.1,1.75,1.0,1.64,2.32,1.6,2.33,0.0259,0.0408,4.75,False,2.33,False,1.64,1.0,-1.0,-1.0,0.6399999999999999
Arsenal,2018-10-28 12:30:00,2018,-2.465037363560034,Strong Short,Break,-1.3200438,-0.1457,0.4764,2018-11-03,Arsenal,Liverpool,home,1,1,D,5,3.9,3.9,1.95,0.25,2.2,1.71,1.53,2.52,0.0256,0.0393,1.95,False,2.52,True,1.71,-1.0,-1.0,1.52,-1.0
Arsenal,2018-11-03 17:30:00,2018,-1.7544303106633083,Strong Short,Break,-0.9815106,-0.1457,0.4764,2018-11-11,Arsenal,Wolverhampton Wanderers,home,1,1,D,7,1.66,4.2,5.25,-1.0,2.12,1.76,1.62,2.28,0.031,0.0399,5.25,False,2.28,True,1.76,1.0,-1.0,1.2799999999999998,0.76
Arsenal,2018-11-11 16:30:00,2018,-1.588505457598657,Strong Short,Break,-0.9024640000000002,-0.1457,0.4764,2018-11-25,Bournemouth,Arsenal,away,1,2,A,13,3.5,3.75,1.95,0.25,2.1,1.78,1.49,2.59,0.0652,0.038,3.5,False,2.59,False,2.1,-1.0,-1.0,-1.0,-1.0
Arsenal,2020-11-22 16:30:00,2020,1.9573199285075955,Strong Long,Normal,0.7353963999999998,-0.1407,0.4476,2020-11-29,Arsenal,Wolverhampton Wanderers,home,1,2,A,6,2.05,3.4,3.75,-0.25,1.81,2.05,2.31,1.62,0.0486,0.0403,2.05,False,2.31,True,1.81,-1.0,-1.0,1.31,-1.0
Arsenal,2020-11-29 19:15:00,2020,1.6356836461126,Strong Long,Normal,0.5914319999999998,-0.1407,0.4476,2020-12-06,Tottenham,Arsenal,away,2,0,H,6,1.95,3.6,3.8,-0.5,2.0,1.86,1.92,1.9,0.0538,0.0376,3.8,False,1.92,False,1.86,-1.0,-1.0,-1.0,-1.0
Arsenal,2020-12-06 16:30:00,2020,1.5712403932082213,Strong Long,Normal,0.5625871999999998,-0.1407,0.4476,2020-12-13,Arsenal,Burnley,home,0,1,A,6,1.53,4.2,6.25,-1.0,1.92,1.94,1.9,1.92,0.0517,0.0363,1.53,False,1.9,False,1.92,-1.0,-1.0,-1.0,-1.0
Arsenal,2020-12-13 19:15:00,2020,2.400350312779267,Strong Long,Normal,0.9336968,-0.1407,0.4476,2020-12-16,Arsenal,Southampton,home,1,1,D,2,2.25,3.5,3.1,-0.25,1.94,1.93,1.8,2.03,0.0527,0.0336,2.25,False,1.8,False,1.94,-1.0,-1.0,-1.0,-1.0
Arsenal,2020-12-16 18:00:00,2020,1.6276805183199283,Strong Long,Normal,0.5878497999999999,-0.1407,0.4476,2020-12-19,Everton,Arsenal,away,2,1,H,2,2.45,3.5,2.8,-0.25,2.08,1.8,1.84,1.98,0.051,0.0363,2.8,False,1.84,True,1.8,-1.0,-1.0,0.8400000000000001,-1.0
Arsenal,2021-09-18 14:00:00,2021,1.9076644235082996,Strong Long,Normal,0.7110367999999998,-0.1394,0.4458,2021-09-26,Arsenal,Tottenham,home,3,1,H,7,2.15,3.3,3.5,-0.25,1.95,1.94,2.07,1.79,0.0539,0.0283,2.15,True,2.07,True,1.95,1.0,1.15,1.0699999999999998,0.95
Arsenal,2022-04-09 14:00:00,2021,2.1160408254822785,Strong Long,Normal,0.8039309999999997,-0.1394,0.4458,2022-04-16,Southampton,Arsenal,away,1,0,H,6,3.8,3.6,1.95,0.5,1.92,1.96,1.88,1.95,0.0538,0.031,1.95,False,1.88,False,1.96,-1.0,-1.0,-1.0,-1.0
Arsenal,2022-04-16 14:00:00,2021,2.301491700314042,Strong Long,Normal,0.8866049999999998,-0.1394,0.4458,2022-04-20,Chelsea,Arsenal,away,2,4,A,3,1.83,3.6,4.33,-0.5,1.87,2.02,2.04,1.8,0.0552,0.0298,4.33,True,2.04,True,2.02,1.0,3.33,1.04,1.02
Arsenal,2023-03-19 14:00:00,2022,-1.9197601319509896,Strong Short,Break,-0.9133462,-0.0986,0.4244,2023-04-01,Arsenal,Leeds,home,4,1,H,12,1.29,6.0,9.0,-1.5,1.83,2.04,1.53,2.51,0.053,0.0366,9.0,False,2.51,False,2.04,-1.0,-1.0,-1.0,-1.0
Arsenal,2023-04-01 14:00:00,2022,-2.120786993402451,Strong Short,Break,-0.9986620000000002,-0.0986,0.4244,2023-04-09,Liverpool,Arsenal,away,2,2,D,7,2.88,3.6,2.38,0.25,1.79,2.08,1.64,2.28,0.0452,0.0394,2.88,False,2.28,False,1.79,1.0,-1.0,-1.0,0.79
Arsenal,2023-04-09 15:30:00,2022,-1.900655042412818,Strong Short,Break,-0.905238,-0.0986,0.4244,2023-04-16,West Ham,Arsenal,away,2,2,D,6,6.0,4.2,1.55,1.0,1.89,1.97,1.8,2.04,0.0499,0.0367,6.0,False,2.04,False,1.89,1.0,-1.0,-1.0,0.8899999999999999
Arsenal,2023-12-17 14:00:00,2023,1.8404664582832404,Strong Long,Normal,0.6410499999999997,-0.1244,0.4159,2023-12-23,Liverpool,Arsenal,away,1,1,D,5,2.38,3.6,2.8,-0.25,2.08,1.79,1.69,2.2,0.0551,0.0394,2.8,False,1.69,False,1.79,1.0,-1.0,-1.0,0.79
