team,signal_date,season,z_oos,z_bucket,regime,rolling_spread,mu,sigma_eq,match_date,home_team,away_team,venue,home_goals,away_goals,result,days_gap,home_odds,draw_odds,away_odds,ah_line,ah_home_odds,ah_away_odds,over_odds,under_odds,margin_1x2,margin_ah,odds_1x2,won_1x2,odds_ou,won_ou,odds_ah,pnl_mult_ah,gross_pnl_1x2,gross_pnl_ou,gross_pnl_ah
Arsenal,2017-09-25 20:00:00,2017,1.732005016722408,Strong Long,Normal,0.6387912,-0.1898,0.4784,2017-10-01,Arsenal,Brighton,home,2,0,H,5,1.2,6.5,13.0,-1.75,1.94,1.93,1.55,2.43,0.0641,0.0336,1.2,True,1.55,False,1.94,1.0,0.19999999999999996,-1.0,0.94
Arsenal,2017-12-02 17:30:00,2017,1.6735647993311036,Strong Long,Normal,0.6108334,-0.1898,0.4784,2017-12-10,Southampton,Arsenal,away,1,1,D,7,4.0,3.75,1.95,0.25,2.19,1.71,1.8,2.02,0.0295,0.0414,1.95,False,1.8,False,1.71,-1.0,-1.0,-1.0,-1.0
Arsenal,2017-12-10 12:00:00,2017,1.785581939799331,Strong Long,Normal,0.6644224,-0.1898,0.4784,2017-12-13,West Ham,Arsenal,away,0,0,D,2,5.25,4.2,1.66,0.75,2.07,1.79,1.66,2.21,0.031,0.0418,1.66,False,1.66,False,1.79,-1.0,-1.0,-1.0,-1.0
Arsenal,2017-12-13 20:00:00,2017,2.1114180602006685,Strong Long,Normal,0.8203023999999999,-0.1898,0.4784,2017-12-16,Arsenal,Newcastle United,home,1,0,H,2,1.25,6.5,14.0,-1.75,1.9,1.96,1.46,2.71,0.0253,0.0365,1.25,True,1.46,False,1.9,-1.0,0.25,-1.0,-1.0
Arsenal,2017-12-16 15:00:00,2017,2.225498327759197,Strong Long,Normal,0.8748783999999998,-0.1898,0.4784,2017-12-22,Arsenal,Liverpool,home,3,3,D,5,2.54,3.6,2.79,-0.25,2.13,1.76,1.5,2.57,0.0299,0.0377,2.54,False,1.5,True,2.13,-1.0,-1.0,0.5,-1.0
Arsenal,2017-12-22 19:45:00,2017,1.6620158862876253,Strong Long,Normal,0.6053084,-0.1898,0.4784,2017-12-28,Crystal Palace,Arsenal,away,2,3,A,5,4.5,4.0,1.8,0.75,1.88,1.99,1.62,2.29,0.0278,0.0344,1.8,True,1.62,True,1.99,1.0,0.8,0.6200000000000001,0.99
Arsenal,2020-11-22 16:30:00,2020,1.9573199285075955,Strong Long,Normal,0.7353963999999998,-0.1407,0.4476,2020-11-29,Arsenal,Wolverhampton Wanderers,home,1,2,A,6,2.05,3.4,3.75,-0.25,1.81,2.05,2.31,1.62,0.0486,0.0403,2.05,False,2.31,True,1.81,-1.0,-1.0,1.31,-1.0
Arsenal,2020-11-29 19:15:00,2020,1.6356836461126,Strong Long,Normal,0.5914319999999998,-0.1407,0.4476,2020-12-06,Tottenham,Arsenal,away,2,0,H,6,1.95,3.6,3.8,-0.5,2.0,1.86,1.92,1.9,0.0538,0.0376,3.8,False,1.92,False,1.86,-1.0,-1.0,-1.0,-1.0
Arsenal,2020-12-06 16:30:00,2020,1.5712403932082213,Strong Long,Normal,0.5625871999999998,-0.1407,0.4476,2020-12-13,Arsenal,Burnley,home,0,1,A,6,1.53,4.2,6.25,-1.0,1.92,1.94,1.9,1.92,0.0517,0.0363,1.53,False,1.9,False,1.92,-1.0,-1.0,-1.0,-1.0
Arsenal,2020-12-13 19:15:00,2020,2.400350312779267,Strong Long,Normal,0.9336968,-0.1407,0.4476,2020-12-16,Arsenal,Southampton,home,1,1,D,2,2.25,3.5,3.1,-0.25,1.94,1.93,1.8,2.03,0.0527,0.0336,2.25,False,1.8,False,1.94,-1.0,-1.0,-1.0,-1.0
Arsenal,2020-12-16 18:00:00,2020,1.6276805183199283,Strong Long,Normal,0.5878497999999999,-0.1407,0.4476,2020-12-19,Everton,Arsenal,away,2,1,H,2,2.45,3.5,2.8,-0.25,2.08,1.8,1.84,1.98,0.051,0.0363,2.8,False,1.84,True,1.8,-1.0,-1.0,0.8400000000000001,-1.0
Arsenal,2021-09-18 14:00:00,2021,1.9076644235082996,Strong Long,Normal,0.7110367999999998,-0.1394,0.4458,2021-09-26,Arsenal,Tottenham,home,3,1,H,7,2.15,3.3,3.5,-0.25,1.95,1.94,2.07,1.79,0.0539,0.0283,2.15,True,2.07,True,1.95,1.0,1.15,1.0699999999999998,0.95
Arsenal,2022-04-09 14:00:00,2021,2.1160408254822785,Strong Long,Normal,0.8039309999999997,-0.1394,0.4458,2022-04-16,Southampton,Arsenal,away,1,0,H,6,3.8,3.6,1.95,0.5,1.92,1.96,1.88,1.95,0.0538,0.031,1.95,False,1.88,False,1.96,-1.0,-1.0,-1.0,-1.0
Arsenal,2022-04-16 14:00:00,2021,2.301491700314042,Strong Long,Normal,0.8866049999999998,-0.1394,0.4458,2022-04-20,Chelsea,Arsenal,away,2,4,A,3,1.83,3.6,4.33,-0.5,1.87,2.02,2.04,1.8,0.0552,0.0298,4.33,True,2.04,True,2.02,1.0,3.33,1.04,1.02
Arsenal,2023-12-17 14:00:00,2023,1.8404664582832404,Strong Long,Normal,0.6410499999999997,-0.1244,0.4159,2023-12-23,Liverpool,Arsenal,away,1,1,D,5,2.38,3.6,2.8,-0.25,2.08,1.79,1.69,2.2,0.0551,0.0394,2.8,False,1.69,False,1.79,1.0,-1.0,-1.0,0.79
Arsenal,2023-12-28 20:15:00,2023,2.0854344794421733,Strong Long,Normal,0.7429321999999998,-0.1244,0.4159,2023-12-31,Fulham,Arsenal,away,2,1,H,2,5.25,4.5,1.55,1.0,1.9,1.97,1.76,2.1,0.0579,0.0339,1.55,False,1.76,True,1.97,-1.0,-1.0,0.76,-1.0
Arsenal,2024-01-20 12:30:00,2023,1.5448958884347197,Strong Long,Normal,0.5181221999999999,-0.1244,0.4159,2024-01-30,Nottingham Forest,Arsenal,away,1,2,A,9,7.5,5.0,1.4,1.25,2.02,1.85,1.65,2.29,0.0476,0.0356,1.4,True,1.65,True,1.85,-1.0,0.3999999999999999,0.6499999999999999,-1.0
Bournemouth,2018-04-28 14:00:00,2017,1.840876739562624,Strong Long,Normal,0.3895766,-0.166,0.3018,2018-05-05,Bournemouth,Swansea,home,1,0,H,6,2.1,3.6,3.7,-0.25,1.81,2.07,1.86,1.96,0.0242,0.0356,2.1,True,1.86,False,1.81,1.0,1.1,-1.0,0.81
Bournemouth,2018-05-05 15:00:00,2017,2.226284294234593,Strong Long,Normal,0.5058926000000001,-0.166,0.3018,2018-05-13,Burnley,Bournemouth,away,1,2,A,7,2.14,3.5,3.6,-0.25,1.9,1.95,1.86,1.95,0.0308,0.0391,3.6,True,1.86,True,1.95,1.0,2.6,0.8600000000000001,0.95
Bournemouth,2018-08-11 17:00:00,2018,1.6402577805721474,Strong Long,Normal,0.3764660000000001,-0.1453,0.3181,2018-08-18,West Ham,Bournemouth,away,1,2,A,6,2.1,3.6,3.7,-0.25,1.79,2.08,1.78,2.04,0.0242,0.0394,3.7,True,1.78,True,2.08,1.0,2.7,0.78,1.08
Bournemouth,2019-05-04 11:30:00,2018,1.5026595410248351,Strong Long,Normal,0.3326960000000001,-0.1453,0.3181,2019-05-12,Crystal Palace,Bournemouth,away,5,3,H,7,1.9,4.2,3.8,-1.0,2.52,1.54,1.54,2.45,0.0276,0.0462,3.8,False,1.54,True,1.54,-1.0,-1.0,0.54,-1.0
Bournemouth,2019-08-10 15:00:00,2019,2.2803887399463814,Strong Long,Normal,0.5849680000000002,-0.0955,0.2984,2019-08-17,Aston Villa,Bournemouth,away,1,2,A,6,2.3,3.4,3.1,-0.25,2.01,1.88,1.81,2.03,0.0515,0.0294,3.1,True,1.81,True,1.88,1.0,2.1,0.81,0.8799999999999999
Bournemouth,2019-11-02 12:30:00,2019,2.630520777479893,Strong Long,Normal,0.6894474,-0.0955,0.2984,2019-11-09,Newcastle United,Bournemouth,away,2,1,H,6,2.55,3.25,2.8,0.0,1.87,2.01,2.07,1.77,0.057,0.0323,2.8,False,2.07,True,2.01,-1.0,-1.0,1.0699999999999998,-1.0
Bournemouth,2019-11-09 15:00:00,2019,3.0338250670241296,Strong Long,Normal,0.8097934000000002,-0.0955,0.2984,2019-11-23,Bournemouth,Wolverhampton Wanderers,home,1,2,A,13,2.75,3.3,2.6,0.0,2.01,1.86,2.02,1.81,0.0513,0.0351,2.75,False,2.02,True,2.01,-1.0,-1.0,1.02,-1.0
Bournemouth,2019-11-23 15:00:00,2019,2.4747245308311,Strong Long,Normal,0.6429578000000001,-0.0955,0.2984,2019-11-30,Tottenham,Bournemouth,away,3,2,H,6,1.36,5.5,7.5,-1.5,2.06,1.81,1.51,2.57,0.0504,0.0379,7.5,False,1.51,True,1.81,0.5,-1.0,0.51,0.405
Bournemouth,2020-01-01 17:30:00,2019,1.7425382037533517,Strong Long,Normal,0.4244734000000001,-0.0955,0.2984,2020-01-12,Bournemouth,Watford,home,0,3,A,10,2.6,3.3,2.7,0.0,1.88,1.98,1.89,1.93,0.058,0.037,2.6,False,1.89,True,1.88,-1.0,-1.0,0.8899999999999999,-1.0
