season_start,date,home_team,away_team,home_goals,away_goals,result,home_odds,draw_odds,away_odds,over_odds,under_odds,ah_line,ah_home_odds,ah_away_odds,margin_1x2,margin_ah,margin_ou
2016,2016-08-13,Burnley,Swansea,0,1,A,2.4,3.3,3.25,2.3,1.61,-0.25,2.06,1.81,0.0274,0.0379,0.0559
2016,2016-08-13,Crystal Palace,West Bromwich Albion,0,1,A,2.0,3.3,4.5,2.5,1.52,-0.5,2.0,1.85,0.0253,0.0405,0.0579
2016,2016-08-13,Everton,Tottenham,1,1,D,3.2,3.4,2.4,2.05,1.77,0.25,1.85,2.0,0.0233,0.0405,0.0528
2016,2016-08-13,Hull,Leicester,2,1,H,4.5,3.6,1.91,2.19,1.67,0.25,2.26,1.67,0.0236,0.0413,0.0554
2016,2016-08-13,Manchester City,Sunderland,2,1,H,1.25,6.5,15.0,1.53,2.48,-1.5,1.73,2.14,0.0205,0.0453,0.0568
2016,2016-08-13,Middlesbrough,Stoke,1,1,D,2.38,3.2,3.4,2.46,1.53,-0.25,1.93,1.92,0.0268,0.039,0.0601
2016,2016-08-13,Southampton,Watford,1,1,D,1.8,3.75,5.0,2.06,1.75,-0.75,2.07,1.8,0.0222,0.0386,0.0569
2016,2016-08-14,Arsenal,Liverpool,3,4,A,2.4,3.5,3.1,1.81,1.99,-0.5,2.31,1.64,0.025,0.0427,0.055
2016,2016-08-14,Bournemouth,Manchester United,1,3,A,4.75,3.6,1.85,2.05,1.76,0.75,1.76,2.11,0.0288,0.0421,0.056
2016,2016-08-15,Chelsea,West Ham,2,1,H,1.65,4.0,6.0,1.8,2.01,-1.0,2.1,1.76,0.0227,0.0444,0.0531
2016,2016-08-19,Manchester United,Southampton,2,0,H,1.53,4.2,7.5,1.94,1.86,-1.0,1.92,1.94,0.025,0.0363,0.0531
2016,2016-08-20,Burnley,Liverpool,2,0,H,6.5,4.2,1.57,1.86,1.93,1.0,1.91,1.94,0.0289,0.039,0.0558
2016,2016-08-20,Leicester,Arsenal,0,0,D,2.88,3.6,2.5,1.69,2.16,0.25,1.78,2.1,0.025,0.038,0.0547
2016,2016-08-20,Stoke,Manchester City,1,4,A,5.5,3.8,1.73,1.76,2.05,1.0,1.69,2.22,0.023,0.0422,0.056
2016,2016-08-20,Swansea,Hull,0,2,A,1.8,3.6,5.25,2.23,1.64,-1.0,2.45,1.57,0.0238,0.0451,0.0582
2016,2016-08-20,Tottenham,Crystal Palace,1,0,H,1.45,4.75,8.0,1.77,2.04,-1.0,1.72,2.17,0.0252,0.0422,0.0552
2016,2016-08-20,Watford,Chelsea,1,2,A,5.5,3.8,1.73,2.08,1.74,0.75,1.93,1.93,0.023,0.0363,0.0555
2016,2016-08-20,West Bromwich Albion,Everton,1,2,A,3.0,3.25,2.6,2.38,1.57,0.25,1.72,2.17,0.0256,0.0422,0.0571
2016,2016-08-21,Sunderland,Middlesbrough,1,2,A,2.55,3.2,3.1,2.38,1.57,-0.25,2.14,1.75,0.0272,0.0387,0.0571
2016,2016-08-21,West Ham,Bournemouth,1,0,H,1.95,3.75,4.0,1.78,2.02,-0.5,1.94,1.91,0.0295,0.039,0.0568
2016,2016-08-27,Chelsea,Burnley,3,0,H,1.25,5.5,15.0,1.72,2.09,-2.0,2.33,1.62,0.0485,0.0465,0.0599
2016,2016-08-27,Crystal Palace,Bournemouth,1,1,D,2.3,3.2,3.3,2.16,1.68,-0.25,1.94,1.88,0.0503,0.0474,0.0582
2016,2016-08-27,Everton,Stoke,1,0,H,1.73,3.6,5.25,1.96,1.82,-1.0,2.3,1.64,0.0463,0.0445,0.0597
2016,2016-08-27,Hull,Manchester United,0,1,A,8.0,4.1,1.44,1.98,1.81,1.0,2.12,1.75,0.0633,0.0431,0.0575
2016,2016-08-27,Leicester,Swansea,2,1,H,1.73,3.6,5.25,2.07,1.74,-1.0,2.31,1.63,0.0463,0.0464,0.0578
2016,2016-08-27,Southampton,Sunderland,1,1,D,1.57,3.6,6.5,2.08,1.73,-1.0,2.04,1.81,0.0686,0.0427,0.0588
2016,2016-08-27,Tottenham,Liverpool,1,1,D,2.38,3.4,3.0,1.75,2.05,-0.25,2.01,1.84,0.0476,0.041,0.0592
2016,2016-08-27,Watford,Arsenal,1,3,A,5.0,3.75,1.73,1.91,1.87,1.0,1.67,2.24,0.0447,0.0452,0.0583
2016,2016-08-28,Manchester City,West Ham,3,1,H,1.25,6.0,11.0,1.49,2.57,-1.5,1.77,2.08,0.0576,0.0457,0.0602
2016,2016-08-28,West Bromwich Albion,Middlesbrough,0,0,D,2.6,3.1,2.9,2.57,1.49,-0.25,2.15,1.73,0.052,0.0432,0.0602
2016,2016-09-10,Arsenal,Southampton,2,1,H,1.57,4.2,6.5,1.79,2.02,-1.0,1.95,1.9,0.0289,0.0391,0.0537
2016,2016-09-10,Bournemouth,West Bromwich Albion,1,0,H,2.05,3.25,4.33,2.38,1.56,-0.5,2.0,1.85,0.0264,0.0405,0.0612
2016,2016-09-10,Burnley,Hull,1,1,D,2.45,3.1,3.4,2.41,1.55,-0.25,2.02,1.84,0.0249,0.0385,0.0601
2016,2016-09-10,Liverpool,Leicester,4,1,H,1.7,4.0,5.5,1.75,2.07,-1.0,2.09,1.77,0.0201,0.0434,0.0545
2016,2016-09-10,Manchester United,Manchester City,1,2,A,2.38,3.25,3.4,2.09,1.73,-0.25,1.97,1.88,0.022,0.0395,0.0565
2016,2016-09-10,Middlesbrough,Crystal Palace,1,2,A,2.3,3.2,3.6,2.48,1.52,-0.25,1.92,1.93,0.0251,0.039,0.0611
2016,2016-09-10,Stoke,Tottenham,0,4,A,4.6,3.75,1.85,1.94,1.85,0.75,1.78,2.08,0.0246,0.0426,0.056
2016,2016-09-10,West Ham,Watford,2,4,A,1.91,3.6,4.5,1.99,1.81,-0.75,2.13,1.74,0.0236,0.0442,0.055
2016,2016-09-11,Swansea,Chelsea,2,2,D,5.75,4.0,1.67,1.82,1.98,1.0,1.77,2.09,0.0227,0.0434,0.0545
2016,2016-09-12,Sunderland,Everton,0,3,A,3.8,3.5,2.1,1.97,1.81,0.5,1.78,2.07,0.0251,0.0449,0.0601
2016,2016-09-16,Chelsea,Liverpool,1,2,A,2.25,3.5,3.4,1.73,2.1,-0.25,1.93,1.93,0.0243,0.0363,0.0542
2016,2016-09-17,Everton,Middlesbrough,3,1,H,1.67,3.8,6.0,1.99,1.81,-1.0,2.14,1.73,0.0286,0.0453,0.055
2016,2016-09-17,Hull,Arsenal,1,4,A,6.0,4.2,1.6,1.87,1.92,1.0,1.85,2.0,0.0298,0.0405,0.0556
