bet_number,date,season,pnl,bankroll
1,2017-10-01,2017,2.0,1002.0
2,2017-12-10,2017,-10.0,992.0
3,2017-12-13,2017,-10.0,982.0
4,2017-12-16,2017,2.5,984.5
5,2017-12-22,2017,-10.0,974.5
6,2017-12-28,2017,8.0,982.5
7,2020-11-29,2020,-10.0,972.5
8,2020-12-06,2020,-10.0,962.5
9,2020-12-13,2020,-10.0,952.5
10,2020-12-16,2020,-10.0,942.5
11,2020-12-19,2020,-10.0,932.5
12,2021-09-26,2021,11.5,944.0
13,2022-04-16,2021,-10.0,934.0
14,2022-04-20,2021,33.3,967.3
15,2023-12-23,2023,-10.0,957.3
16,2023-12-31,2023,-10.0,947.3
17,2024-01-30,2023,4.0,951.3
18,2018-05-05,2017,11.0,962.3
19,2018-05-13,2017,26.0,988.3
20,2018-08-18,2018,27.0,1015.3
21,2019-05-12,2018,-10.0,1005.3
22,2019-08-17,2019,21.0,1026.3
23,2019-11-09,2019,-10.0,1016.3
24,2019-11-23,2019,-10.0,1006.3
25,2019-11-30,2019,-10.0,996.3
26,2020-01-12,2019,-10.0,986.3
27,2020-01-18,2019,-10.0,976.3
28,2020-01-21,2019,18.7,995.0
29,2020-02-29,2019,-10.0,985.0
30,2020-06-24,2019,-10.0,975.0
31,2020-07-01,2019,-10.0,965.0
32,2023-02-04,2022,-10.0,955.0
33,2023-02-11,2022,-10.0,945.0
34,2023-02-18,2022,50.0,995.0
35,2023-02-25,2022,-10.0,985.0
36,2023-03-04,2022,-10.0,975.0
37,2023-04-08,2022,32.0,1007.0
38,2023-04-15,2022,60.0,1067.0
39,2023-04-27,2022,22.0,1089.0
40,2023-08-26,2023,-10.0,1079.0
41,2023-09-02,2023,-10.0,1069.0
42,2023-09-24,2023,-10.0,1059.0
43,2023-09-30,2023,-10.0,1049.0
44,2023-10-07,2023,-10.0,1039.0
45,2023-10-21,2023,-10.0,1029.0
46,2023-10-28,2023,11.5,1040.5
47,2024-02-17,2023,-10.0,1030.5
48,2024-02-24,2023,-10.0,1020.5
49,2024-03-03,2023,9.5,1030.0
50,2024-03-13,2023,5.0,1035.0
51,2024-04-28,2023,12.5,1047.5
52,2024-05-11,2023,-10.0,1037.5
53,2024-05-19,2023,-10.0,1027.5
54,2022-10-23,2022,-10.0,1017.5
55,2022-10-29,2022,-10.0,1007.5
56,2022-11-05,2022,-10.0,997.5
57,2023-04-29,2022,6.5,1004.0
58,2023-10-07,2023,-10.0,994.0
59,2023-10-21,2023,8.3,1002.3
60,2023-12-17,2023,-10.0,992.3
61,2024-04-06,2023,-10.0,982.3
62,2019-03-09,2018,40.0,1022.3
63,2019-09-28,2019,-10.0,1012.3
64,2019-10-05,2019,29.0,1041.3
65,2019-10-19,2019,-10.0,1031.3
66,2020-07-16,2019,-10.0,1021.3
67,2020-12-16,2020,-10.0,1011.3
68,2020-12-20,2020,-10.0,1001.3
69,2020-12-27,2020,-10.0,991.3
70,2020-12-29,2020,-10.0,981.3
71,2021-01-02,2020,-10.0,971.3
72,2021-01-31,2020,22.0,993.3
73,2021-02-03,2020,80.0,1073.3
74,2021-02-06,2020,-10.0,1063.3
75,2021-02-13,2020,-10.0,1053.3
76,2021-02-22,2020,-10.0,1043.3
77,2021-02-27,2020,-10.0,1033.3
78,2021-03-06,2020,-10.0,1023.3
79,2021-03-14,2020,15.0,1038.3
80,2021-03-20,2020,6.6,1044.9
81,2021-05-09,2020,-10.0,1034.9
82,2021-05-15,2020,-10.0,1024.9
83,2021-12-15,2021,-10.0,1014.9
84,2021-12-26,2021,9.0,1023.9
85,2022-03-16,2021,-10.0,1013.9
86,2022-04-09,2021,47.5,1061.4
87,2022-10-29,2022,20.0,1081.4
88,2023-03-04,2022,8.0,1089.4
89,2023-03-11,2022,-10.0,1079.4
90,2023-03-15,2022,4.4,1083.8
91,2023-04-29,2022,5.0,1088.8
92,2024-01-30,2023,-10.0,1078.8
93,2024-02-03,2023,7.0,1085.8
94,2024-05-11,2023,-10.0,1075.8
95,2024-05-15,2023,-10.0,1065.8
96,2024-05-19,2023,-10.0,1055.8
97,2018-01-13,2017,-10.0,1045.8
98,2018-01-31,2017,-10.0,1035.8
