bet_number,date,season,stake_frac,pnl,bankroll
1,2017-10-01,2017,0.0,0.0,1000.0
2,2017-12-10,2017,0.0,-0.0,1000.0
3,2017-12-13,2017,0.0,-0.0,1000.0
4,2017-12-16,2017,0.0,-0.0,1000.0
5,2017-12-22,2017,0.0,-0.0,1000.0
6,2017-12-28,2017,0.0,0.0,1000.0
7,2020-11-29,2020,0.0,-0.0,1000.0
8,2020-12-06,2020,0.0,-0.0,1000.0
9,2020-12-13,2020,0.0,-0.0,1000.0
10,2020-12-16,2020,0.0,-0.0,1000.0
11,2020-12-19,2020,0.0,-0.0,1000.0
12,2021-09-26,2021,0.0,0.0,1000.0
13,2022-04-16,2021,0.0,-0.0,1000.0
14,2022-04-20,2021,0.0,0.0,1000.0
15,2023-12-23,2023,0.0,0.0,1000.0
16,2023-12-31,2023,0.0,-0.0,1000.0
17,2024-01-30,2023,0.0,-0.0,1000.0
18,2018-05-05,2017,0.0,0.0,1000.0
19,2018-05-13,2017,0.0,0.0,1000.0
20,2018-08-18,2018,0.0,0.0,1000.0
21,2019-05-12,2018,0.0,-0.0,1000.0
22,2019-08-17,2019,0.0,0.0,1000.0
23,2019-11-09,2019,0.0,-0.0,1000.0
24,2019-11-23,2019,0.0,-0.0,1000.0
25,2019-11-30,2019,0.0,0.0,1000.0
26,2020-01-12,2019,0.0,-0.0,1000.0
27,2020-01-18,2019,0.0,-0.0,1000.0
28,2020-01-21,2019,0.0,0.0,1000.0
29,2020-02-29,2019,0.0,0.0,1000.0
30,2020-06-24,2019,0.0,0.0,1000.0
31,2020-07-01,2019,0.0,-0.0,1000.0
32,2023-02-04,2022,0.0,0.0,1000.0
33,2023-02-11,2022,0.0,0.0,1000.0
34,2023-02-18,2022,0.0,0.0,1000.0
35,2023-02-25,2022,0.0,-0.0,1000.0
36,2023-03-04,2022,0.0,0.0,1000.0
37,2023-04-08,2022,0.0,0.0,1000.0
38,2023-04-15,2022,0.0,0.0,1000.0
39,2023-04-27,2022,0.0,0.0,1000.0
40,2023-08-26,2023,0.0,-0.0,1000.0
41,2023-09-02,2023,0.0,0.0,1000.0
42,2023-09-24,2023,0.0,-0.0,1000.0
43,2023-09-30,2023,0.0,-0.0,1000.0
44,2023-10-07,2023,0.0,-0.0,1000.0
45,2023-10-21,2023,0.0,-0.0,1000.0
46,2023-10-28,2023,0.0,0.0,1000.0
47,2024-02-17,2023,0.0,0.0,1000.0
48,2024-02-24,2023,0.0,0.0,1000.0
49,2024-03-03,2023,0.0,0.0,1000.0
50,2024-03-13,2023,0.0,-0.0,1000.0
51,2024-04-28,2023,0.0,0.0,1000.0
52,2024-05-11,2023,0.0,-0.0,1000.0
53,2024-05-19,2023,0.0,0.0,1000.0
54,2022-10-23,2022,0.0,-0.0,1000.0
55,2022-10-29,2022,0.0,-0.0,1000.0
56,2022-11-05,2022,0.0,0.0,1000.0
