season,team,n_obs,adf_pval,eligible,reason
2017,Arsenal,74,,False,insufficient_history
2017,Bournemouth,74,,False,insufficient_history
2017,Burnley,36,,False,insufficient_history
2017,Chelsea,74,,False,insufficient_history
2017,Crystal Palace,74,,False,insufficient_history
2017,Everton,74,,False,insufficient_history
2017,Leicester,74,,False,insufficient_history
2017,Liverpool,74,,False,insufficient_history
2017,Manchester City,74,,False,insufficient_history
2017,Manchester United,74,,False,insufficient_history
2017,Newcastle United,36,,False,insufficient_history
2017,Southampton,74,,False,insufficient_history
2017,Stoke,74,,False,insufficient_history
2017,Swansea,74,,False,insufficient_history
2017,Tottenham,74,,False,insufficient_history
2017,Watford,74,,False,insufficient_history
2017,West Bromwich Albion,74,,False,insufficient_history
2017,West Ham,74,,False,insufficient_history
2018,Arsenal,112,,False,insufficient_history
2018,Bournemouth,112,,False,insufficient_history
2018,Brighton,36,,False,insufficient_history
2018,Burnley,74,,False,insufficient_history
2018,Chelsea,112,,False,insufficient_history
2018,Crystal Palace,112,,False,insufficient_history
2018,Everton,112,,False,insufficient_history
2018,Huddersfield,36,,False,insufficient_history
2018,Leicester,112,,False,insufficient_history
2018,Liverpool,112,,False,insufficient_history
2018,Manchester City,112,,False,insufficient_history
2018,Manchester United,112,,False,insufficient_history
2018,Newcastle United,74,,False,insufficient_history
2018,Southampton,112,,False,insufficient_history
2018,Tottenham,112,,False,insufficient_history
2018,Watford,112,,False,insufficient_history
2018,West Ham,112,,False,insufficient_history
2019,Arsenal,150,0.06,False,non_stationary
2019,Aston Villa,36,,False,insufficient_history
2019,Bournemouth,150,0.011,True,ok
2019,Brighton,74,,False,insufficient_history
2019,Burnley,112,,False,insufficient_history
2019,Chelsea,150,0.211,False,non_stationary
2019,Crystal Palace,150,0.035,True,ok
2019,Everton,150,0.026,True,ok
2019,Leicester,150,0.007,True,ok
2019,Liverpool,150,0.001,True,ok
2019,Manchester City,150,0.006,True,ok
2019,Manchester United,150,0.026,True,ok
2019,Newcastle United,112,,False,insufficient_history
2019,Norwich,36,,False,insufficient_history
2019,Southampton,150,0.034,True,ok
2019,Tottenham,150,0.007,True,ok
2019,Watford,150,0.008,True,ok
2019,West Ham,150,0.005,True,ok
2019,Wolverhampton Wanderers,36,,False,insufficient_history
2020,Arsenal,188,0.012,True,ok
2020,Aston Villa,74,,False,insufficient_history
2020,Brighton,112,,False,insufficient_history
2020,Burnley,150,0.003,True,ok
2020,Chelsea,188,0.082,False,non_stationary
2020,Crystal Palace,188,0.004,True,ok
2020,Everton,188,0.018,True,ok
2020,Fulham,36,,False,insufficient_history
2020,Leicester,188,0.004,True,ok
2020,Liverpool,188,0.0,True,ok
2020,Manchester City,188,0.001,True,ok
2020,Manchester United,188,0.005,True,ok
2020,Newcastle United,150,0.012,True,ok
