bet_number,date,season,stake_frac,pnl,bankroll
1,2017-10-01,2017,0.0,0.0,1000.0
2,2017-12-10,2017,0.03263673890608875,-32.6367,967.3633
3,2017-12-13,2017,0.039428155162993986,-38.1413,929.2219
4,2017-12-16,2017,0.0,0.0,929.2219
5,2017-12-22,2017,0.010745446503960438,-9.9849,919.237
6,2017-12-28,2017,0.03593542680229987,26.4265,945.6635
7,2020-11-29,2020,0.0,-0.0,945.6635
8,2020-12-06,2020,0.0,-0.0,945.6635
9,2020-12-13,2020,0.0,-0.0,945.6635
10,2020-12-16,2020,0.00030959752321981784,-0.2928,945.3708
11,2020-12-19,2020,0.007953453613750409,-7.519,937.8518
12,2021-09-26,2021,0.0,0.0,937.8518
13,2022-04-16,2021,0.030987394957983194,-29.0616,908.7902
14,2022-04-20,2021,0.0,0.0,908.7902
15,2023-12-23,2023,0.005530129672006102,-5.0257,903.7645
16,2023-12-31,2023,0.039428155162993986,-35.6338,868.1307
17,2024-01-30,2023,0.045070254822576795,15.6507,883.7815
18,2018-05-05,2017,0.0,0.0,883.7815
19,2018-05-13,2017,0.0,0.0,883.7815
20,2018-08-18,2018,0.0,0.0,883.7815
21,2019-05-12,2018,0.0,-0.0,883.7815
22,2019-08-17,2019,0.0024410573946177586,4.5305,888.3119
23,2019-11-09,2019,0.011035653650254669,-9.8031,878.5088
24,2019-11-23,2019,0.016143299425033175,-14.182,864.3268
25,2019-11-30,2019,0.0,-0.0,864.3268
26,2020-01-12,2019,0.012432275541795672,-10.7455,853.5813
27,2020-01-18,2019,0.0,-0.0,853.5813
28,2020-01-21,2019,0.01868346550553799,29.8225,883.4037
29,2020-02-29,2019,0.03725490196078431,-32.9111,850.4926
30,2020-06-24,2019,0.0,-0.0,850.4926
31,2020-07-01,2019,0.006247235736399824,-5.3132,845.1794
32,2023-02-04,2022,0.0,-0.0,845.1794
33,2023-02-11,2022,0.04313256403039684,-36.4548,808.7246
34,2023-02-18,2022,0.0,0.0,808.7246
35,2023-02-25,2022,0.04803061575507396,-38.8435,769.8811
36,2023-03-04,2022,0.0,-0.0,769.8811
37,2023-04-08,2022,0.0,0.0,769.8811
38,2023-04-15,2022,0.0,0.0,769.8811
39,2023-04-27,2022,0.00030959752321981784,0.5244,770.4055
40,2023-08-26,2023,0.030987394957983194,-23.8729,746.5326
41,2023-09-02,2023,0.0,-0.0,746.5326
42,2023-09-24,2023,0.0,-0.0,746.5326
43,2023-09-30,2023,0.04033367733058136,-30.1104,716.4222
44,2023-10-07,2023,0.0,-0.0,716.4222
45,2023-10-21,2023,0.005530129672006102,-3.9619,712.4603
46,2023-10-28,2023,0.0,0.0,712.4603
47,2024-02-17,2023,0.0,-0.0,712.4603
48,2024-02-24,2023,0.04418214654282765,-31.478,680.9823
49,2024-03-03,2023,0.03053757388122713,19.7558,700.738
50,2024-03-13,2023,0.0,0.0,700.738
51,2024-04-28,2023,0.00030959752321981784,0.2712,701.0092
52,2024-05-11,2023,0.0,-0.0,701.0092
53,2024-05-19,2023,0.0,-0.0,701.0092
54,2022-10-23,2022,0.0,-0.0,701.0092
55,2022-10-29,2022,0.0,-0.0,701.0092
56,2022-11-05,2022,0.016143299425033175,-11.3166,689.6926
