bet_number,date,season,pnl,bankroll
1,2017-10-01,2017,9.4,1009.4
2,2017-12-10,2017,-10.0,999.4
3,2017-12-13,2017,-10.0,989.4
4,2017-12-16,2017,-10.0,979.4
5,2017-12-22,2017,-10.0,969.4
6,2017-12-28,2017,9.9,979.3
7,2020-11-29,2020,-10.0,969.3
8,2020-12-06,2020,-10.0,959.3
9,2020-12-13,2020,-10.0,949.3
10,2020-12-16,2020,-10.0,939.3
11,2020-12-19,2020,-10.0,929.3
12,2021-09-26,2021,9.5,938.8
13,2022-04-16,2021,-10.0,928.8
14,2022-04-20,2021,10.2,939.0
15,2023-12-23,2023,7.9,946.9
16,2023-12-31,2023,-10.0,936.9
17,2024-01-30,2023,-10.0,926.9
18,2018-05-05,2017,8.1,935.0
19,2018-05-13,2017,9.5,944.5
20,2018-08-18,2018,10.8,955.3
21,2019-05-12,2018,-10.0,945.3
22,2019-08-17,2019,8.8,954.1
23,2019-11-09,2019,-10.0,944.1
24,2019-11-23,2019,-10.0,934.1
25,2019-11-30,2019,4.05,938.15
26,2020-01-12,2019,-10.0,928.15
27,2020-01-18,2019,-10.0,918.15
28,2020-01-21,2019,11.0,929.15
29,2020-02-29,2019,8.7,937.85
30,2020-06-24,2019,0.0,937.85
31,2020-07-01,2019,-10.0,927.85
32,2023-02-04,2022,4.3,932.15
33,2023-02-11,2022,8.8,940.95
34,2023-02-18,2022,10.0,950.95
35,2023-02-25,2022,-10.0,940.95
36,2023-03-04,2022,10.6,951.55
37,2023-04-08,2022,9.9,961.45
38,2023-04-15,2022,8.3,969.75
39,2023-04-27,2022,8.7,978.45
40,2023-08-26,2023,-10.0,968.45
41,2023-09-02,2023,9.5,977.95
42,2023-09-24,2023,-5.0,972.95
43,2023-09-30,2023,-10.0,962.95
44,2023-10-07,2023,-10.0,952.95
45,2023-10-21,2023,-10.0,942.95
46,2023-10-28,2023,8.4,951.35
47,2024-02-17,2023,5.1,956.45
48,2024-02-24,2023,9.7,966.15
49,2024-03-03,2023,9.5,975.65
50,2024-03-13,2023,-10.0,965.65
51,2024-04-28,2023,9.6,975.25
52,2024-05-11,2023,-10.0,965.25
53,2024-05-19,2023,9.7,974.95
54,2022-10-23,2022,-10.0,964.95
55,2022-10-29,2022,-10.0,954.95
56,2022-11-05,2022,0.0,954.95
57,2023-04-29,2022,8.3,963.25
58,2023-10-07,2023,-10.0,953.25
59,2023-10-21,2023,8.4,961.65
60,2023-12-17,2023,-10.0,951.65
61,2024-04-06,2023,9.9,961.55
62,2019-03-09,2018,7.7,969.25
63,2019-09-28,2019,-10.0,959.25
64,2019-10-05,2019,9.3,968.55
65,2019-10-19,2019,-10.0,958.55
66,2020-07-16,2019,10.0,968.55
67,2020-12-16,2020,0.0,968.55
68,2020-12-20,2020,-10.0,958.55
69,2020-12-27,2020,8.4,966.95
70,2020-12-29,2020,-10.0,956.95
71,2021-01-02,2020,0.0,956.95
72,2021-01-31,2020,8.5,965.45
73,2021-02-03,2020,8.1,973.55
74,2021-02-06,2020,-10.0,963.55
75,2021-02-13,2020,0.0,963.55
76,2021-02-22,2020,-10.0,953.55
77,2021-02-27,2020,-10.0,943.55
78,2021-03-06,2020,-10.0,933.55
79,2021-03-14,2020,8.1,941.65
80,2021-03-20,2020,8.9,950.55
81,2021-05-09,2020,-10.0,940.55
82,2021-05-15,2020,8.2,948.75
83,2021-12-15,2021,-10.0,938.75
84,2021-12-26,2021,9.5,948.25
85,2022-03-16,2021,-10.0,938.25
86,2022-04-09,2021,10.4,948.65
87,2022-10-29,2022,8.2,956.85
88,2023-03-04,2022,10.0,966.85
89,2023-03-11,2022,-5.0,961.85
90,2023-03-15,2022,-10.0,951.85
91,2023-04-29,2022,8.3,960.15
92,2024-01-30,2023,-10.0,950.15
93,2024-02-03,2023,8.9,959.05
94,2024-05-11,2023,9.4,968.45
95,2024-05-15,2023,-5.0,963.45
96,2024-05-19,2023,-10.0,953.45
97,2018-01-13,2017,-10.0,943.45
98,2018-01-31,2017,10.5,953.95
99,2018-02-03,2017,8.1,962.05
100,2018-02-10,2017,-10.0,952.05
101,2018-02-24,2017,6.6,958.65
102,2018-03-03,2017,10.6,969.25
103,2018-03-10,2017,9.4,978.65
104,2018-08-19,2018,-10.0,968.65
105,2018-08-26,2018,-10.0,958.65
106,2018-09-16,2018,0.0,958.65
107,2018-09-22,2018,7.3,965.95
108,2018-12-15,2018,10.0,975.95
109,2018-12-22,2018,-5.0,970.95
110,2018-12-26,2018,-10.0,960.95
111,2018-12-30,2018,9.2,970.15
112,2019-01-02,2018,10.7,980.85
113,2019-01-12,2018,10.2,991.05
114,2019-01-29,2018,10.6,1001.65
115,2019-12-21,2019,8.0,1009.65
116,2020-01-19,2019,10.0,1019.65
117,2020-01-22,2019,9.2,1028.85
118,2020-02-15,2019,8.5,1037.35
119,2020-06-29,2019,9.2,1046.55
120,2020-07-05,2019,0.0,1046.55
121,2020-11-28,2020,-10.0,1036.55
122,2020-12-05,2020,4.55,1041.1
123,2021-01-27,2020,8.7,1049.8
124,2021-08-21,2021,0.0,1049.8
125,2021-08-29,2021,8.7,1058.5
126,2021-09-13,2021,-10.0,1048.5
127,2021-09-18,2021,-5.0,1043.5
128,2021-09-25,2021,8.5,1052.0
129,2017-12-26,2017,0.0,1052.0
130,2017-12-30,2017,8.4,1060.4
131,2018-04-08,2017,-10.0,1050.4
132,2018-04-14,2017,4.2,1054.6
133,2019-01-12,2018,-10.0,1044.6
134,2019-04-22,2018,-10.0,1034.6
135,2019-08-24,2019,10.5,1045.1
136,2019-12-07,2019,-10.0,1035.1
137,2019-12-14,2019,-10.0,1025.1
138,2019-12-22,2019,8.1,1033.2
139,2019-12-26,2019,-10.0,1023.2
140,2020-01-21,2019,-10.0,1013.2
141,2020-02-01,2019,0.0,1013.2
142,2020-02-22,2019,9.5,1022.7
143,2020-02-29,2019,-10.0,1012.7
144,2020-12-21,2020,7.9,1020.6
145,2020-12-26,2020,-10.0,1010.6
146,2020-12-28,2020,-10.0,1000.6
147,2021-03-04,2020,9.2,1009.8
148,2021-04-10,2020,9.6,1019.4
149,2021-05-01,2020,8.3,1027.7
150,2021-08-28,2021,0.0,1027.7
151,2023-02-03,2022,-10.0,1017.7
152,2023-02-11,2022,-10.0,1007.7
153,2023-02-18,2022,-10.0,997.7
154,2023-02-26,2022,-10.0,987.7
155,2023-03-04,2022,8.0,995.7
156,2023-03-11,2022,10.1,1005.8
157,2023-04-08,2022,-10.0,995.8
158,2023-04-15,2022,-10.0,985.8
159,2023-04-26,2022,-10.0,975.8
160,2023-05-02,2022,-10.0,965.8
161,2023-05-06,2022,8.6,974.4
162,2023-08-25,2023,8.9,983.3
163,2023-09-17,2023,-10.0,973.3
164,2023-09-24,2023,-10.0,963.3
165,2023-10-02,2023,10.5,973.8
166,2023-10-07,2023,9.4,983.2
167,2023-12-30,2023,0.0,983.2
168,2017-09-16,2017,-10.0,973.2
169,2017-09-23,2017,-10.0,963.2
170,2017-09-30,2017,-10.0,953.2
171,2017-10-14,2017,8.9,962.1
172,2017-10-21,2017,-10.0,952.1
173,2017-12-12,2017,9.4,961.5
174,2018-02-25,2017,8.1,969.6
175,2023-01-18,2022,8.4,978.0
176,2024-04-21,2023,8.4,986.4
177,2024-02-03,2023,-10.0,976.4
178,2024-05-11,2023,-10.0,966.4
179,2024-05-19,2023,9.5,975.9
180,2018-03-10,2017,11.4,987.3
181,2018-11-24,2018,-10.0,977.3
182,2018-12-01,2018,9.3,986.6
183,2018-12-05,2018,-10.0,976.6
184,2019-03-03,2018,-10.0,966.6
185,2019-03-09,2018,10.0,976.6
186,2020-09-20,2020,8.0,984.6
187,2023-04-01,2022,-10.0,974.6
188,2023-05-01,2022,-5.0,969.6
189,2023-05-08,2022,-10.0,959.6
190,2023-05-15,2022,-10.0,949.6
191,2023-05-22,2022,8.6,958.2
192,2023-05-28,2022,4.65,962.85
193,2017-09-23,2017,11.1,973.95
194,2017-10-01,2017,-10.0,963.95
195,2017-10-22,2017,-10.0,953.95
196,2017-10-28,2017,11.6,965.55
197,2018-05-06,2017,-10.0,955.55
198,2018-05-13,2017,8.8,964.35
199,2018-08-20,2018,9.4,973.75
200,2018-08-25,2018,-10.0,963.75
201,2018-09-22,2018,9.6,973.35
202,2019-11-02,2019,-5.0,968.35
203,2019-11-10,2019,8.9,977.25
204,2020-01-23,2019,8.1,985.35
205,2020-01-29,2019,4.8,990.15
206,2020-02-01,2019,8.4,998.55
207,2021-01-28,2020,9.2,1007.75
208,2021-01-31,2020,9.9,1017.65
209,2021-02-03,2020,-10.0,1007.65
210,2021-02-07,2020,-10.0,997.65
211,2021-02-28,2020,9.4,1007.05
212,2021-03-04,2020,-10.0,997.05
213,2021-03-07,2020,-10.0,987.05
214,2021-03-15,2020,9.8,996.85
215,2021-05-08,2020,10.4,1007.25
216,2021-05-13,2020,9.0,1016.25
217,2022-01-02,2021,-10.0,1006.25
218,2022-01-16,2021,9.0,1015.25
219,2022-11-06,2022,8.7,1023.95
220,2022-11-12,2022,8.6,1032.55
221,2022-12-30,2022,-10.0,1022.55
222,2023-02-04,2022,-10.0,1012.55
223,2023-02-13,2022,8.7,1021.25
224,2023-02-18,2022,10.1,1031.35
225,2023-02-25,2022,-10.0,1021.35
226,2023-03-01,2022,8.0,1029.35
227,2023-03-05,2022,10.8,1040.15
228,2024-04-14,2023,-10.0,1030.15
229,2024-04-21,2023,9.0,1039.15
230,2024-04-24,2023,-10.0,1029.15
231,2024-04-27,2023,-10.0,1019.15
232,2024-05-05,2023,9.4,1028.55
233,2019-02-09,2018,10.2,1038.75
234,2019-04-21,2018,-10.0,1028.75
235,2019-04-24,2018,-5.0,1023.75
236,2019-04-28,2018,-10.0,1013.75
237,2019-05-05,2018,-10.0,1003.75
238,2019-05-12,2018,-10.0,993.75
239,2019-09-30,2019,-10.0,983.75
240,2019-10-06,2019,-10.0,973.75
241,2019-10-20,2019,9.8,983.55
242,2019-11-02,2019,-10.0,973.55
243,2019-11-10,2019,8.9,982.45
244,2019-11-24,2019,-10.0,972.45
245,2022-02-20,2021,9.1,981.55
246,2022-02-26,2021,-10.0,971.55
247,2022-03-06,2021,-10.0,961.55
248,2022-03-12,2021,8.9,970.45
249,2022-08-27,2022,10.1,980.55
250,2023-04-08,2022,8.2,988.75
251,2023-04-16,2022,8.8,997.55
252,2023-04-27,2022,0.0,997.55
253,2023-04-30,2022,9.9,1007.45
254,2023-05-04,2022,-5.0,1002.45
255,2023-05-07,2022,-10.0,992.45
256,2023-05-13,2022,5.3,997.75
257,2023-05-20,2022,0.0,997.75
258,2023-05-25,2022,10.3,1008.05
259,2023-05-28,2022,0.0,1008.05
260,2023-08-19,2023,-10.0,998.05
261,2023-08-26,2023,-5.0,993.05
262,2023-09-03,2023,-10.0,983.05
263,2023-09-16,2023,-10.0,973.05
264,2023-12-17,2023,10.6,983.65
265,2023-12-26,2023,9.6,993.25
266,2017-10-01,2017,9.6,1002.85
267,2021-04-11,2020,8.9,1011.75
268,2017-08-19,2017,9.1,1020.85
269,2017-09-09,2017,-10.0,1010.85
270,2018-10-20,2018,11.4,1022.25
271,2018-11-04,2018,-10.0,1012.25
272,2018-11-10,2018,-10.0,1002.25
273,2018-11-24,2018,-10.0,992.25
274,2021-10-16,2021,10.7,1002.95
275,2022-04-09,2021,-10.0,992.95
276,2022-04-16,2021,9.2,1002.15
277,2017-12-02,2017,-10.0,992.15
278,2017-12-09,2017,10.0,1002.15
279,2018-02-25,2017,-10.0,992.15
280,2018-03-03,2017,0.0,992.15
281,2018-03-11,2017,8.3,1000.45
282,2018-11-03,2018,10.8,1011.25
