team,n_obs,adf_stat,adf_pval,stationary
Arsenal,378,-5.24,0.0,True
Aston Villa,264,-4.446,0.0,True
Brighton,302,-4.773,0.0,True
Chelsea,378,-4.277,0.0,True
Crystal Palace,378,-5.637,0.0,True
Manchester City,378,-6.135,0.0,True
Manchester United,378,-4.726,0.0,True
Liverpool,378,-4.946,0.0,True
Leicester,340,-4.541,0.0,True
Southampton,340,-5.045,0.0,True
Wolverhampton Wanderers,264,-4.374,0.0,True
Tottenham,378,-5.297,0.0,True
West Ham,378,-5.19,0.0,True
Newcastle United,340,-6.222,0.0,True
Fulham,188,-3.985,0.001,True
Bournemouth,302,-4.039,0.001,True
Everton,378,-4.197,0.001,True
