team,season,signal_date,match_date,z_ou,z_bucket,regime,reverted,venue,mu_est,spread_t0,spread_t5
Arsenal,2017,2017-08-11 19:45:00,2017-09-25 20:00:00,-0.13467467149311754,Neutral,Normal,False,home,-0.1897710792017293,-0.254196,0.6387912
Arsenal,2017,2017-08-19 17:30:00,2017-10-01 12:00:00,0.7211570039434826,Weak Long,Break,False,away,-0.1897710792017293,0.1552119999999999,0.4531112
Arsenal,2017,2017-08-27 16:00:00,2017-10-14 17:30:00,1.493951634483469,Weak Long,Break,True,away,-0.1897710792017293,0.5248972,0.3538416
Arsenal,2017,2017-09-09 15:00:00,2017-10-22 13:30:00,0.5107343910126445,Weak Long,Break,False,home,-0.1897710792017293,0.0545511999999999,0.2284356
Arsenal,2017,2017-09-17 13:30:00,2017-10-28 15:00:00,0.958638754799133,Weak Long,Break,True,away,-0.1897710792017293,0.2688172,0.0195735999999999
Arsenal,2017,2017-09-25 20:00:00,2017-11-05 14:15:00,1.7320370965217686,Strong Long,Break,True,home,-0.1897710792017293,0.6387912,-0.190977
Arsenal,2017,2017-10-01 12:00:00,2017-11-18 12:30:00,1.3438892696716143,Weak Long,Break,True,home,-0.1897710792017293,0.4531112,-0.2381210000000001
Arsenal,2017,2017-10-14 17:30:00,2017-11-26 14:00:00,1.1363748388643973,Weak Long,Break,True,away,-0.1897710792017293,0.3538416,-0.0854466
Arsenal,2017,2017-10-22 13:30:00,2017-11-29 19:45:00,0.8742245460274172,Weak Long,Break,True,away,-0.1897710792017293,0.2284356,0.0382733999999998
Arsenal,2017,2017-10-28 15:00:00,2017-12-02 17:30:00,0.43761677237609803,Neutral,Break,False,home,-0.1897710792017293,0.0195735999999999,0.6108334
Arsenal,2017,2017-11-05 14:15:00,2017-12-10 12:00:00,-0.0025208721305588913,Neutral,Break,False,away,-0.1897710792017293,-0.190977,0.6644224
Arsenal,2017,2017-11-18 12:30:00,2017-12-13 20:00:00,-0.10107128762508556,Neutral,Break,False,home,-0.1897710792017293,-0.2381210000000001,0.8203023999999999
Arsenal,2017,2017-11-26 14:00:00,2017-12-16 15:00:00,0.21808121439802536,Neutral,Break,False,away,-0.1897710792017293,-0.0854466,0.8748783999999998
Arsenal,2017,2017-11-29 19:45:00,2017-12-22 19:45:00,0.47670707145264085,Neutral,Break,False,home,-0.1897710792017293,0.0382733999999998,0.6053084
Arsenal,2017,2017-12-02 17:30:00,2017-12-28 20:00:00,1.6735937568324577,Strong Long,Break,True,home,-0.1897710792017293,0.6108334,-0.2745976
Arsenal,2017,2017-12-10 12:00:00,2017-12-31 16:30:00,1.7856168820644316,Strong Long,Break,True,away,-0.1897710792017293,0.6644224,-0.2127078
